tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1250000,85,2,2
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",820000,44,2,1
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",1380000,110,3,1
Apartamento,Rua Capote Valente,"Pinheiros, São Paulo",780000,69,2,2
Apartamento,Rua Joaquim Antunes,"Pinheiros, São Paulo",850000,65,2,1
Apartamento,Rua Cristiano Viana,"Pinheiros, São Paulo",850000,85,2,1
Apartamento,Rua dos Pinheiros,"Pinheiros, São Paulo",1850000,72,1,1
Apartamento,Rua Fidalga,"Pinheiros, São Paulo",950000,63,2,1
Apartamento,Rua Teodoro Sampaio,"Pinheiros, São Paulo",390000,52,1,0
Apartamento,Rua João Moura,"Pinheiros, São Paulo",890000,106,2,1
Apartamento,Rua Henrique Schaumann,"Pinheiros, São Paulo",2100000,137,3,1
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1250000,85,2,2
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",820000,44,2,1
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",1380000,110,3,1
Apartamento,Rua Capote Valente,"Pinheiros, São Paulo",780000,69,2,2
Apartamento,Rua Joaquim Antunes,"Pinheiros, São Paulo",850000,65,2,1
Apartamento,Rua Cristiano Viana,"Pinheiros, São Paulo",850000,85,2,1
Apartamento,Rua dos Pinheiros,"Pinheiros, São Paulo",1850000,72,1,1
Apartamento,Rua Fidalga,"Pinheiros, São Paulo",950000,63,2,1
Apartamento,Rua Teodoro Sampaio,"Pinheiros, São Paulo",390000,52,1,0
Apartamento,Rua João Moura,"Pinheiros, São Paulo",890000,106,2,1
Apartamento,Rua Henrique Schaumann,"Pinheiros, São Paulo",2100000,137,3,1
Casa,Rua Cunha Gago,"Pinheiros, São Paulo",700000,100,1,1
Apartamento,Rua Cunha Gago,"Pinheiros, São Paulo",750000,85,2,0
Apartamento,Avenida Pedroso de Morais,"Pinheiros, São Paulo",1300000,180,3,1
Apartamento,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",455000,46,1,0
Apartamento,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",521000,45,1,0
Apartamento,Santos,"Pinheiros, São Paulo",1500000,256,3,1
Studio e kitnet,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",285000,33,1,0
Casa,Rua Bartolomeu Zunega,"Pinheiros, São Paulo",1200000,180,2,1
Apartamento,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",600000,56,1,1
Apartamento,Praça dos Omaguas,"Pinheiros, São Paulo",700000,65,2,0
Apartamento,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",1200000,120,3,1
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1250000,85,2,2
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",820000,44,2,1
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",1380000,110,3,1
Apartamento,Rua Capote Valente,"Pinheiros, São Paulo",780000,69,2,2
Apartamento,Rua Joaquim Antunes,"Pinheiros, São Paulo",850000,65,2,1
Apartamento,Rua Cristiano Viana,"Pinheiros, São Paulo",850000,85,2,1
Apartamento,Rua dos Pinheiros,"Pinheiros, São Paulo",1850000,72,1,1
Apartamento,Rua Fidalga,"Pinheiros, São Paulo",950000,63,2,1
Apartamento,Rua Teodoro Sampaio,"Pinheiros, São Paulo",390000,52,1,0
Apartamento,Rua João Moura,"Pinheiros, São Paulo",890000,106,2,1
Apartamento,Rua Henrique Schaumann,"Pinheiros, São Paulo",2100000,137,3,1
Casa,Rua Cunha Gago,"Pinheiros, São Paulo",700000,100,1,1
Apartamento,Rua Cunha Gago,"Pinheiros, São Paulo",750000,85,2,0
