tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",700000,50,1,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,124,2,1
Apartamento,Rua Jacurici,"Jardim Europa, São Paulo",2250000,160,3,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,160,2,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2400000,145,3,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3800000,196,3,3
Apartamento,Doutor Mário Ferraz,"Jardim Europa, São Paulo",4240000,215,2,1
Studio e kitnet,Rua Campos Bicudo,"Jardim Europa, São Paulo",650000,50,1,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2250000,150,3,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",2990000,143,2,2
Apartamento,Rua Embaixador Raul Fernandes,"Jardim Europa, São Paulo",2500000,100,2,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",700000,50,1,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,124,2,1
Apartamento,Rua Jacurici,"Jardim Europa, São Paulo",2250000,160,3,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,160,2,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2400000,145,3,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3800000,196,3,3
Apartamento,Doutor Mário Ferraz,"Jardim Europa, São Paulo",4240000,215,2,1
Studio e kitnet,Rua Campos Bicudo,"Jardim Europa, São Paulo",650000,50,1,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2250000,150,3,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",2990000,143,2,2
Apartamento,Rua Embaixador Raul Fernandes,"Jardim Europa, São Paulo",2500000,100,2,2
Casa,Rua Turquia,"Jardim Europa, São Paulo",7500000,408,3,2
Casa,Avenida Reboucas,"Jardim Europa, São Paulo",9500000,0,0,15
Casa,Rua Polônia,"Jardim Europa, São Paulo",14300000,440,4,6
Casa,Rua Áustria,"Jardim Europa, São Paulo",5900000,420,3,3
Casa,Avenida Europa,"Jardim Europa, São Paulo",9510000,424,4,10
Apartamento,Rua Peruíbe,"Jardim Europa, São Paulo",1560000,95,3,0
Apartamento,Praça das Nações Unidas,"Jardim Europa, São Paulo",17800000,703,4,4
Casa,Rua Alemanha,"Jardim Europa, São Paulo",5000000,300,5,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3700000,210,3,2
Casa,Rua Iramaia,"Jardim Europa, São Paulo",15000000,365,4,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",4000000,220,3,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",700000,50,1,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,124,2,1
Apartamento,Rua Jacurici,"Jardim Europa, São Paulo",2250000,160,3,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,160,2,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2400000,145,3,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3800000,196,3,3
Apartamento,Doutor Mário Ferraz,"Jardim Europa, São Paulo",4240000,215,2,1
Studio e kitnet,Rua Campos Bicudo,"Jardim Europa, São Paulo",650000,50,1,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2250000,150,3,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",2990000,143,2,2
Apartamento,Rua Embaixador Raul Fernandes,"Jardim Europa, São Paulo",2500000,100,2,2
Casa,Rua Turquia,"Jardim Europa, São Paulo",7500000,408,3,2
Casa,Avenida Reboucas,"Jardim Europa, São Paulo",9500000,0,0,15
Casa,Rua Polônia,"Jardim Europa, São Paulo",14300000,440,4,6
Casa,Rua Áustria,"Jardim Europa, São Paulo",5900000,420,3,3
Casa,Avenida Europa,"Jardim Europa, São Paulo",9510000,424,4,10
Apartamento,Rua Peruíbe,"Jardim Europa, São Paulo",1560000,95,3,0
Apartamento,Praça das Nações Unidas,"Jardim Europa, São Paulo",17800000,703,4,4
Casa,Rua Alemanha,"Jardim Europa, São Paulo",5000000,300,5,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3700000,210,3,2
Casa,Rua Iramaia,"Jardim Europa, São Paulo",15000000,365,4,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",4000000,220,3,2
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",1900000,143,3,2
Casa,Rua Grécia,"Jardim Europa, São Paulo",3900000,180,4,2
Apartamento,Rua Tucumã,"Jardim Europa, São Paulo",11500000,291,4,4
Apartamento,Rua Campos Bicudo,"Jardim Europa, São Paulo",2750000,143,2,2
