tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Rua Helena,"Vila Olímpia, São Paulo",1990000,92,2,2
Apartamento,Avenida Doutor Cardoso de Melo,"Vila Olímpia, São Paulo",800000,43,1,1
Apartamento,Rua do Rocio,"Vila Olímpia, São Paulo",5850000,216,2,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",3140000,120,3,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1500000,77,2,1
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1498000,76,2,1
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",890000,68,2,1
Apartamento,Rua Doutor Fadlo Haidar,"Vila Olímpia, São Paulo",1750000,105,3,1
Apartamento,Rua Aleixo Garcia,"Vila Olímpia, São Paulo",1590000,74,2,2
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",850000,65,2,1
Apartamento,Rua Michel Milan,"Vila Olímpia, São Paulo",13298000,343,4,5
Apartamento,Rua Helena,"Vila Olímpia, São Paulo",1990000,92,2,2
Apartamento,Avenida Doutor Cardoso de Melo,"Vila Olímpia, São Paulo",800000,43,1,1
Apartamento,Rua do Rocio,"Vila Olímpia, São Paulo",5850000,216,2,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",3140000,120,3,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1500000,77,2,1
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1498000,76,2,1
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",890000,68,2,1
Apartamento,Rua Doutor Fadlo Haidar,"Vila Olímpia, São Paulo",1750000,105,3,1
Apartamento,Rua Aleixo Garcia,"Vila Olímpia, São Paulo",1590000,74,2,2
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",850000,65,2,1
Apartamento,Rua Michel Milan,"Vila Olímpia, São Paulo",13298000,343,4,5
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",2875000,120,3,3
Apartamento,Avenida Doutor Cardoso de Melo,"Vila Olímpia, São Paulo",5700000,210,4,4
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",400000,34,1,1
Apartamento,Rua Alvorada,"Vila Olímpia, São Paulo",1950000,85,2,2
Apartamento,Rua Alvorada,"Vila Olímpia, São Paulo",2250000,175,3,1
Apartamento,Rua Aleixo García,"Vila Olímpia, São Paulo",1275000,70,1,2
Apartamento,Rua Alvorada,"Vila Olimpia, São Paulo",800000,110,3,1
Apartamento,Rua Nova Cidade,"Vila Olímpia, São Paulo",2250000,91,1,2
Apartamento,Rua Nova Cidade,"Vila Olímpia, São Paulo",2250000,91,1,2
Apartamento,Rua Helena,"Vila Olímpia, São Paulo",2800000,127,3,3
Casa,Rua Casa do Ator,"Vila Olímpia, São Paulo",1400000,100,2,1
Apartamento,Rua Helena,"Vila Olímpia, São Paulo",1990000,92,2,2
Apartamento,Avenida Doutor Cardoso de Melo,"Vila Olímpia, São Paulo",800000,43,1,1
Apartamento,Rua do Rocio,"Vila Olímpia, São Paulo",5850000,216,2,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",3140000,120,3,3
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1500000,77,2,1
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",1498000,76,2,1
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",890000,68,2,1
Apartamento,Rua Doutor Fadlo Haidar,"Vila Olímpia, São Paulo",1750000,105,3,1
Apartamento,Rua Aleixo Garcia,"Vila Olímpia, São Paulo",1590000,74,2,2
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",850000,65,2,1
Apartamento,Rua Michel Milan,"Vila Olímpia, São Paulo",13298000,343,4,5
Apartamento,Rua Casa do Ator,"Vila Olímpia, São Paulo",2875000,120,3,3
Apartamento,Avenida Doutor Cardoso de Melo,"Vila Olímpia, São Paulo",5700000,210,4,4
Apartamento,Rua Gomes de Carvalho,"Vila Olímpia, São Paulo",400000,34,1,1
Apartamento,Rua Alvorada,"Vila Olímpia, São Paulo",1950000,85,2,2
Apartamento,Rua Alvorada,"Vila Olímpia, São Paulo",2250000,175,3,1
Apartamento,Rua Aleixo García,"Vila Olímpia, São Paulo",1275000,70,1,2
Apartamento,Rua Alvorada,"Vila Olimpia, São Paulo",800000,110,3,1
Apartamento,Rua Nova Cidade,"Vila Olímpia, São Paulo",2250000,91,1,2
Apartamento,Rua Nova Cidade,"Vila Olímpia, São Paulo",2250000,91,1,2
Apartamento,Rua Helena,"Vila Olímpia, São Paulo",2800000,127,3,3
